,symbol_string,parameters,field_shape,cost,status,tileset,comoving,tile_shape
0,01,"(36.86410772925148, 19.76861783341166, 0)","(32, 32)",0.10774961506340365,0,rescaled,True,"(1, 2)"
1,02,"(17.24640872378997, 24.05132470704072, 0)","(32, 32)",2.949034545506304e-12,-1,rescaled,True,"(1, 2)"
2,12,"(26.251324653921554, 32.48827304622197, 0)","(32, 32)",1.1979340393340681e-09,-1,rescaled,True,"(1, 2)"
3,001,"(17.724576020238864, 25.47517339270472, 0)","(32, 32)",1.6054055582320868e-08,-1,rescaled,True,"(1, 3)"
4,002,"(17.212132380502066, 30.252332227836344, 0)","(32, 32)",1.2719731375914699e-05,0,rescaled,True,"(1, 3)"
5,01,"(50.91716248584953, 19.97331039016805, 0)","(32, 32)",0.09679733345065573,0,rescaled,True,"(1, 2)"
6,02,"(17.178122848752782, 25.737315821357388, 0)","(32, 32)",9.7899985377661e-07,-1,rescaled,True,"(1, 2)"
7,12,"(32.42951480278641, 32.362268298827246, 0)","(32, 32)",3.2249582710128633e-07,-1,rescaled,True,"(1, 2)"
8,001,"(42.233712508366345, 26.323068707749684, 0)","(32, 32)",0.08805623775593911,0,rescaled,True,"(1, 3)"
9,002,"(18.988511376905034, 30.297891570118594, 0)","(32, 32)",6.0646673576601425e-05,0,rescaled,True,"(1, 3)"
10,011,"(21.685163267546262, 32.48343310894735, 0)","(32, 64)",0.2632526209340898,0,rescaled,True,"(1, 3)"
11,012,"(43.078002264993785, 38.97276040049677, 0)","(32, 64)",0.23886934872489388,0,rescaled,True,"(1, 3)"
12,0_1,"(75.75494255256854, 11.2599914942148, 0)","(32, 32)",1.513734337087773e-08,-1,rescaled,False,"(2, 1)"
13,0_2,"(187.6970691760944, 18.65879714190369, 0)","(32, 32)",2.747555404645259,0,rescaled,False,"(2, 1)"
14,1_2,"(193.5923076164797, 18.23944731572066, 0)","(32, 32)",8.840362682754159e-11,-1,rescaled,False,"(2, 1)"
15,00_01,"(78.6323035871392, 14.926371678525982, 0)","(32, 32)",1.5609878483363229e-12,-1,rescaled,False,"(2, 2)"
16,00_02,"(131.86417840876294, 36.343684210495915, 0)","(32, 32)",0.0560210965554009,0,rescaled,False,"(2, 2)"
17,00_12,"(172.05187096277572, 30.23749198772265, 0)","(32, 32)",29.96920987557028,0,rescaled,False,"(2, 2)"
18,01_02,"(89.35055058685958, 43.153842728746795, 0)","(32, 32)",7.181071032397451,0,rescaled,False,"(2, 2)"
19,01_11,"(185.2619598749892, 28.50799739236386, 0)","(32, 32)",0.10833835955189143,0,rescaled,False,"(2, 2)"
20,01_12,"(172.3867229820168, 31.407289442907594, 0)","(32, 32)",0.006199804058044261,0,rescaled,False,"(2, 2)"
21,01_20,"(123.7881272746974, 25.35398559168009, 0)","(32, 32)",1.419466240834905e-10,-1,rescaled,False,"(2, 2)"
22,01_21,"(207.6354776423953, 30.334106340900405, 0)","(32, 32)",0.7013587354094247,0,rescaled,False,"(2, 2)"
23,01_22,"(97.96812322636295, 32.12512186083257, 0)","(32, 32)",8.087512168913414e-11,-1,rescaled,False,"(2, 2)"
24,02_11,"(170.95673840479202, 28.52195486298543, 0)","(32, 32)",4.96832802797041e-10,-1,rescaled,False,"(2, 2)"
25,02_12,"(145.65217730054053, 36.33825005045113, 0)","(32, 32)",30.299173412327402,0,rescaled,False,"(2, 2)"
26,02_21,"(186.26976969656198, 28.999077579646485, 0)","(32, 32)",0.20981768430749517,0,rescaled,False,"(2, 2)"
27,02_22,"(199.96123259284806, 36.12630886954704, 0)","(32, 32)",2.0914000983204096e-11,-1,rescaled,False,"(2, 2)"
28,11_12,"(174.95664478832296, 30.55422935586378, 0)","(32, 32)",0.10347030903109139,0,rescaled,False,"(2, 2)"
29,12_22,"(68.5498696728377, 35.9130942494209, 0)","(32, 32)",7.047849049157306,0,rescaled,False,"(2, 2)"
30,021,"(110.51926071981883, 51.5311601849201, 0)","(32, 32)",1.350029080191551,0,rescaled,False,"(1, 3)"
31,022,"(34.85964363777137, 52.467515761538024, 0)","(32, 32)",4.54083418776968,0,rescaled,False,"(1, 3)"
32,112,"(17.65255672647362, 44.81741383325898, 0)","(32, 32)",0.4226949817499399,0,extra_space_padded,False,"(1, 3)"
33,122,"(26.366043501560924, 50.71125879851039, 0)","(32, 32)",0.07489832935183362,0,extra_space_padded,False,"(1, 3)"
34,0001,"(20.826517411432675, 33.62074835141825, 0)","(32, 32)",6.7017061473371e-07,-1,extra_space_padded,False,"(1, 4)"
35,0002,"(17.20089267022506, 38.2960518913514, 0)","(32, 32)",8.80934942055462e-15,-1,extra_space_padded,False,"(1, 4)"
36,0011,"(21.359192542917643, 38.084732322512636, 0)","(32, 32)",1.3558735688747843e-09,-1,extra_space_padded,False,"(1, 4)"
37,0012,"(19.03517758703366, 42.6093969174148, 0)","(32, 32)",1.1368878884014868e-07,-1,extra_space_padded,False,"(1, 4)"
38,0021,"(31.634952578150465, 44.05626925246946, 0)","(32, 32)",0.005897637679744502,0,extra_space_padded,False,"(1, 4)"
39,0022,"(17.430757646360284, 49.496016280964454, 0)","(32, 32)",7.891040193551932e-08,-1,extra_space_padded,False,"(1, 4)"
40,0102,"(19.272891102312943, 46.08895452782584, 0)","(32, 32)",1.547572097384197e-08,-1,extra_space_padded,False,"(1, 4)"
41,0111,"(28.739844998768124, 44.99125096169036, 0)","(32, 32)",2.2146943940346955e-07,-1,extra_space_padded,False,"(1, 4)"
